Ticker,Empresa,Fecha Resultado Actual,Fecha Resultado Anterior,Ingresos Actual,Ingresos Anterior,Crecimiento %
VSCO,Victoria's Secret & Co.,2025-01-31,2024-10-31,2.11B,1.35B,56.35
CTRN,"Citi Trends, Inc.",2025-01-31,2024-10-31,211.17M,179.07M,17.93
COE,51Talk Online Education Group,2024-12-31,2024-09-30,16.24M,14.05M,15.6
APPS,"Digital Turbine, Inc.",2024-12-31,2024-09-30,134.64M,118.73M,13.4
NVDA,NVIDIA Corporation,2025-04-30,2025-01-31,44.06B,39.33B,12.03
GWRE,"Guidewire Software, Inc.",2025-01-31,2024-10-31,289.48M,262.9M,10.11
KRKR,36Kr Holdings Inc.,2023-12-31,2023-09-30,103.33M,96.97M,6.56
BASE,"Couchbase, Inc.",2025-01-31,2024-10-31,54.92M,51.63M,6.38
TTGT,"TechTarget, Inc.",2024-06-30,2024-03-31,62.98M,59.29M,6.23
SPWH,"Sportsman's Warehouse Holdings, Inc.",2025-01-31,2024-10-31,340.4M,324.26M,4.98
CRWD,"CrowdStrike Holdings, Inc.",2025-01-31,2024-10-31,1.06B,1.01B,4.79
SNDA,"Sonida Senior Living, Inc.",2025-03-31,2024-12-31,91.92M,91.93M,-0.01
YEXT,"Yext, Inc.",2025-01-31,2024-10-31,113.09M,113.99M,-0.79
HPE,Hewlett Packard Enterprise Company,2025-01-31,2024-10-31,7.85B,8.46B,-7.14
FERG,Ferguson Enterprises Inc.,2025-04-30,2025-01-31,nan,6.87B,
FERG,Ferguson Enterprises Inc.,2025-04-30,2025-01-31,nan,6.87B,
DG,Dollar General Corporation,2025-04-30,2025-01-31,nan,10.3B,
HQY,"HealthEquity, Inc.",2025-04-30,2025-01-31,nan,311.82M,
DCI,"Donaldson Company, Inc.",2025-04-30,2025-01-31,nan,870.0M,
NIO,NIO Inc.,2025-03-31,2024-12-31,nan,19.7B,
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",2025-04-30,2025-01-31,nan,667.08M,
ASAN,"Asana, Inc.",2025-04-30,2025-01-31,nan,188.33M,
SIG,Signet Jewelers Limited,2025-04-30,2025-01-31,nan,2.35B,
NESR,National Energy Services Reunited Corp.,2025-03-31,2024-12-31,nan,343.68M,
MAMA,"Mama's Creations, Inc.",2025-04-30,2025-01-31,nan,33.59M,
